Rank,Title,Type,Region
12,Diablo Immortal,Grossing,Egypt
13,Total Battle: War Strategy,Grossing,Egypt
14,eFootball 2024,Grossing,Egypt
15,Roblox,Grossing,Egypt
16,Call of Duty : Warzone Mobile,Grossing,Egypt
17,Candy Crush Saga,Grossing,Egypt
18,Play Seka with friends!,Grossing,Egypt
19,Royal Match,Grossing,Egypt
20,기적의 검,Grossing,Egypt
21,Whiteout Survival,Grossing,Egypt
22,Free Fire,Grossing,Egypt
23,Evony: The King's Return,Grossing,Egypt
24,EA SPORTS FC™ 24 Companion,Grossing,Egypt
25,Dragon Raja,Grossing,Egypt
26,Top Eleven Be a Soccer Manager,Grossing,Egypt
27,Undecember,Grossing,Egypt
28,RAID: Shadow Legends,Grossing,Egypt
29,World of Tanks Blitz,Grossing,Egypt
30,Yu-Gi-Oh! Duel Links,Grossing,Egypt
31,Match Masters  - PvP Match 3,Grossing,Egypt
32,Arena Breakout: Realistic FPS,Grossing,Egypt
33,Legends of Runeterra,Grossing,Egypt
34,Gardenscapes,Grossing,Egypt
35,Star Wars� : Galaxy of Heroes,Grossing,Egypt
36,Yalla Ludo - Ludo&Domino,Grossing,Egypt
37,Travel Town - Merge Adventure,Grossing,Egypt
38,Teen Patti Octro Poker & Rummy,Grossing,Egypt
39,Rising: War for Dominion,Grossing,Egypt
40,The Ants: Underground Kingdom,Grossing,Egypt
41,Call of Duty: Mobile Season 5,Grossing,Egypt
42,Mobile Legends: Bang Bang,Grossing,Egypt
43,Love and Deepspace,Grossing,Egypt
44,Three Kingdoms: Throne,Grossing,Egypt
45,Lords Mobile: Kingdom Wars,Grossing,Egypt
46,Hero Wars: Alliance,Grossing,Egypt
47,Marvel Contest of Champions,Grossing,Egypt
48,ONE PIECE Bounty Rush,Grossing,Egypt
49,Last War: Survival Game,Grossing,Egypt
50,MONOPOLY GO!,Grossing,Egypt
