Rank,Title,Type,Region
48,Papers  Please,Paid,United-Arab-Emirates
49,Monument Valley,Paid,United-Arab-Emirates
50,ePSXe for Android,Paid,United-Arab-Emirates
1,Yalla Ludo - Ludo&Domino,Grossing,United-Arab-Emirates
2,Last War: Survival Game,Grossing,United-Arab-Emirates
3,PUBG MOBILE,Grossing,United-Arab-Emirates
4,Whiteout Survival,Grossing,United-Arab-Emirates
5,Roblox,Grossing,United-Arab-Emirates
6,Royal Match,Grossing,United-Arab-Emirates
7,Call of Duty: Mobile Season 5,Grossing,United-Arab-Emirates
8,Candy Crush Saga,Grossing,United-Arab-Emirates
9,Evony: The King's Return,Grossing,United-Arab-Emirates
10,Mobile Legends: Bang Bang,Grossing,United-Arab-Emirates
11,Jawaker Hand  Trix & Solitaire,Grossing,United-Arab-Emirates
12,TopTop: Games&Chat,Grossing,United-Arab-Emirates
13,Clash of Clans,Grossing,United-Arab-Emirates
14,Rise of Kingdoms: Lost Crusade,Grossing,United-Arab-Emirates
15,MONOPOLY GO!,Grossing,United-Arab-Emirates
16,Solo Leveling: Arise,Grossing,United-Arab-Emirates
17,Gardenscapes,Grossing,United-Arab-Emirates
18,Ludo STAR: Online Dice Game,Grossing,United-Arab-Emirates
19,EA SPORTS FC Mobile Soccer,Grossing,United-Arab-Emirates
20,State of Survival: Zombie War,Grossing,United-Arab-Emirates
21,Match Masters  - PvP Match 3,Grossing,United-Arab-Emirates
22,Free Fire,Grossing,United-Arab-Emirates
23,eFootball  2024,Grossing,United-Arab-Emirates
24,Lords Mobile: Kingdom Wars,Grossing,United-Arab-Emirates
25,Brawl Stars,Grossing,United-Arab-Emirates
26,Top War: Battle Game,Grossing,United-Arab-Emirates
27,Fishdom,Grossing,United-Arab-Emirates
28,Kiss of War  ,Grossing,United-Arab-Emirates
29,Empires & Puzzles: Match-3 RPG,Grossing,United-Arab-Emirates
30,Squad Busters,Grossing,United-Arab-Emirates
31,X-HERO,Grossing,United-Arab-Emirates
32,Rise of Castles: Ice and Fire,Grossing,United-Arab-Emirates
33,Township,Grossing,United-Arab-Emirates
34,Homescapes,Grossing,United-Arab-Emirates
35,Last Shelter: Survival,Grossing,United-Arab-Emirates
36,Age of Origins  ,Grossing,United-Arab-Emirates
37,Honkai: Star Rail,Grossing,United-Arab-Emirates
38,Total Battle: War Strategy,Grossing,United-Arab-Emirates
39,Toon Blast,Grossing,United-Arab-Emirates
40,Kingdom Guard: Tower Defense TD,Grossing,United-Arab-Emirates
41,War and Order,Grossing,United-Arab-Emirates
42,Stormshot: Isle of Adventure,Grossing,United-Arab-Emirates
43,Frost & Flame: King of Avalon,Grossing,United-Arab-Emirates
44,Warpath: Ace Shooter,Grossing,United-Arab-Emirates
45,Dice Dreams ,Grossing,United-Arab-Emirates
46,Travel Town - Merge Adventure,Grossing,United-Arab-Emirates
47,Heroes of Crown: Legends,Grossing,United-Arab-Emirates
48,Genshin Impact,Grossing,United-Arab-Emirates
49,Clash Royale,Grossing,United-Arab-Emirates
50,Call of Dragons,Grossing,United-Arab-Emirates
